Track Name,Artist,Streams,URL,Number of Appearnaces in the Top 200
Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,24682240,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,16
Mixed Personalities (feat. Kanye West),YNW Melly,4695445,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL,16
Baila Baila Baila - Remix,Ozuna,4329753,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt,16
All Around The World (La La La),R3HAB,4693132,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,15
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12557802,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,15
Panini,Lil Nas X,5735381,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,15
Lover,Taylor Swift,5019740,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,15
Que Calor (with J Balvin & El Alfa),Major Lazer,5630908,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,15
Créeme,KAROL G,4842927,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,15
Circles,Post Malone,24335324,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,15
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,4533835,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,15
Rise,Jonas Blue,4202620,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,15
Thotiana,Blueface,4734389,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,15
Te Boté - Remix,Nio Garcia,4196340,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,15
Armed And Dangerous,Juice WRLD,5189160,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,15
Graveyard,Halsey,5965504,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,15
Takeaway (feat. Lennon Stella),The Chainsmokers,9420404,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe,15
Runaway,Sebastian Yatra,4682772,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,15
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,5548309,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,15
Wow.,Post Malone,7211751,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,15
Please Me,Cardi B,4854455,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,14
Motivation,Normani,5598349,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm,14
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,5533306,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,14
Teeth,5 Seconds of Summer,5855783,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6,14
Memories,Maroon 5,25107372,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,14
Money,Cardi B,4602734,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,14
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,5291839,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo,14
"fuck, i'm lonely",Lauv,6914843,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0,14
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,4644233,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny,14
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,7030102,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw,14
We Will Rock You - Remastered,Queen,4538691,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,14
Sucker,Jonas Brothers,17152032,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,14
Baby (Lil Baby feat. DaBaby),Quality Control,5195517,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J,14
Bubalu,Becky G,4727423,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,14
Envy Me,Calboy,5682307,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX,13
VIBEZ,DaBaby,5560742,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,13
Adan y Eva,Paulo Londra,4478818,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,13
